content_display_id,user_id,content_id,question_id,latitude,longitude,timestamp,clicked
1,727,1689,1094,9.960948052736782,-27.906221744351285,2019-07-26 07:25:54,1
2,18,77,6543,46.20308151119701,177.85550476609592,2019-03-07 07:42:32,0
3,154,519,3677,-24.59209594985586,-23.87104088258775,2019-01-08 13:00:51,0
4,770,992,3880,-1.8972094434203228,50.82659299961432,2019-06-06 05:31:54,0
5,671,1354,1987,49.62066854230477,-84.94228439442372,2019-09-02 03:42:13,0
6,601,946,2469,-63.72136605806384,97.13672988808497,2019-04-25 23:27:39,0
7,686,1819,8719,75.86243585368328,-54.40849439003132,2019-03-24 00:33:00,0
8,259,1414,8657,-83.0270634870593,-71.19960774243471,2019-10-04 04:32:06,0
9,107,1533,3546,52.1055616926858,-137.53585115687974,2019-02-19 01:49:47,1
10,263,1999,2907,-34.443125048612046,-111.86785780587667,2019-02-15 14:22:12,0
11,993,398,1710,-7.467024397796578,-15.465828405777359,2019-04-16 21:07:06,0
12,266,198,4812,-61.40884867615317,127.19976909945984,2019-01-14 07:47:19,0
13,774,1932,856,71.52368347141851,-77.4585151326711,2019-05-25 00:22:09,1
14,834,1249,5863,-44.33788531617842,-142.00397384414308,2019-02-27 04:35:28,1
15,751,794,514,-27.77797188517078,2.232256507237537,2019-11-10 00:35:30,1
16,176,1129,5608,-84.05995884504085,-48.73710514797634,2019-01-01 05:29:03,0
17,7,29,1973,89.76155806689448,-116.2677258853809,2019-03-29 12:58:24,0
18,158,1095,3607,-3.512901939967705,-151.34965414227656,2019-07-27 10:59:20,0
19,923,1293,5091,30.4348586709106,-66.69219727838362,2019-08-01 16:22:15,1
20,80,972,7848,66.39529150964717,-113.97507931719208,2019-02-14 16:24:58,1
21,406,1491,9936,-67.84400640147601,120.93131196647977,2019-10-26 06:41:23,0
22,470,1228,8898,-10.589418898617026,28.270997046771043,2019-08-15 02:38:54,0
23,830,560,9354,-41.94413423624157,-174.97492185204678,2019-03-04 10:40:37,1
24,600,70,1980,59.241001946615626,-0.2703286012214505,2019-05-27 11:01:35,1
25,841,447,6028,-21.866312528675707,-100.04947317288244,2019-07-13 09:32:29,0
26,364,552,4600,-30.316605028399188,170.45608133702183,2019-07-15 15:22:39,1
27,531,1865,537,81.84370577087242,169.44248073201607,2019-02-14 06:58:08,0
28,537,123,8977,-85.5160104479722,92.20792467901617,2019-01-05 23:22:27,1
29,95,1336,5757,-63.95519835895885,-124.89902812694055,2019-04-18 17:16:52,0
30,122,1698,6745,76.46008365017889,-45.81502089478283,2019-01-09 04:35:09,1
31,600,273,7109,-55.11179150583113,-28.53475822086878,2019-03-28 02:22:36,0
32,417,1288,4786,3.4938975798148135,31.05056122077343,2019-03-01 10:19:17,0
33,850,1782,31,-45.9318017967991,-54.38649070611385,2019-07-12 21:39:40,0
34,846,1987,8793,-80.15082522045523,5.183627125487277,2019-04-20 16:16:29,0
35,882,1985,3230,57.22995625779089,2.9184305415907943,2019-08-18 21:20:24,0
36,183,1479,3885,-67.0887312863535,91.64760591764616,2019-08-25 05:08:53,0
37,114,1871,3069,68.06921829133313,-97.7291137401698,2019-05-14 02:57:23,0
38,579,199,573,-53.34192953501776,4.321934440026013,2019-05-02 20:36:27,1
39,652,638,5626,70.30806596551986,-141.2778616678053,2019-01-03 07:24:43,1
40,102,454,2460,-85.59087731632367,-175.75323810540522,2019-08-21 15:25:38,0
41,754,891,7952,-29.778850431634794,88.18378708510892,2019-11-06 12:18:55,0
42,726,1995,715,-62.95868034904056,-141.45609721540518,2019-10-17 02:55:18,0
43,208,1657,688,-55.5553503799744,6.682024302244429,2019-03-20 00:19:40,0
44,873,1057,3552,-61.691328542152156,-40.84611239119536,2019-12-19 21:55:53,0
45,756,1361,9376,-68.81337858128845,8.11822730822098,2019-12-13 13:42:05,1
46,344,1834,3267,-57.3462879736163,-100.37129278373573,2019-11-11 03:18:58,1
47,199,457,6358,42.43233617896462,175.05663002659645,2019-04-19 04:04:33,1
48,879,1574,8559,85.7908634529112,-47.437474321941465,2019-05-20 12:37:24,0
49,274,108,6097,89.55193337825531,28.28004588088052,2019-07-08 11:22:13,0
50,6,607,7820,-88.67450486729864,157.10197936332014,2019-10-17 00:02:45,0
51,463,1928,3749,45.62958190927762,-153.41146342788565,2019-03-18 13:10:24,0
52,520,283,1155,29.577004494246736,-60.86503686811139,2019-08-10 23:22:12,0
53,430,1220,5272,-85.07460894834045,113.5275950268857,2019-01-17 20:22:34,0
54,132,264,9878,-89.53286972237173,-77.29174880559549,2019-08-28 13:02:32,0
55,46,1293,9337,-15.771177161678892,6.733812055578596,2019-01-25 15:18:04,1
56,252,781,2112,-60.6183976673787,137.82629265161916,2019-03-15 20:08:56,0
57,412,1278,6327,77.9739042502666,99.69991486497298,2019-11-12 07:35:50,0
58,684,1079,2042,19.58568196281587,-128.72493587393313,2019-12-09 07:50:10,0
59,29,924,2882,-89.26749107172472,127.79854136925485,2019-08-05 00:12:57,0
60,553,1808,7428,-59.052090091937686,40.50045188555612,2019-05-07 00:12:15,1
61,628,1658,2571,30.532996882249975,124.39756279358102,2019-10-22 09:19:20,0
62,23,1788,1733,-30.484310803149725,-35.32382371663033,2019-08-30 07:59:44,0
63,125,1257,9008,59.464395454742174,130.95144901303706,2019-04-13 01:14:31,0
64,760,787,445,12.442297898780055,-122.03955103431127,2019-06-25 09:33:42,0
65,115,1887,3728,84.40753977362976,177.75718627148711,2019-09-27 02:12:24,1
66,894,1400,8856,62.7744646685843,76.11307707476232,2019-02-17 19:56:13,0
67,394,875,8534,-23.522029619555354,-141.40122459890577,2019-02-04 10:42:18,1
68,375,1334,1155,-89.18193334823233,141.05900257031465,2019-05-14 19:07:54,0
69,851,1770,8612,51.223955093953606,100.8517120289224,2019-03-30 01:18:01,1
70,483,192,4653,-72.43900449037329,-149.76344806601037,2019-06-24 12:59:44,0
71,994,717,1342,-57.526723545240884,33.13268408626621,2019-10-24 10:18:40,1
72,666,1895,7947,13.191440662611484,102.73508435053844,2019-08-29 08:45:19,0
73,175,893,832,-13.83131975456267,50.456249190350775,2019-05-13 19:44:47,0
74,558,1540,6990,2.8135762914252638,-125.34886789984103,2019-12-17 16:53:41,0
75,710,642,7592,69.7312022988117,97.09350326961993,2019-11-13 21:13:40,0
76,544,511,822,-51.03449112610327,158.4156221077593,2019-02-09 14:34:01,1
77,303,173,5062,-79.89930836796945,-140.62664950108973,2019-03-03 21:42:27,0
78,959,574,1465,-12.35660275075628,-101.26995788590416,2019-11-30 00:40:57,1
79,760,542,1455,17.07927354291361,-26.286421733653214,2019-05-30 02:14:07,0
80,328,1342,2767,54.34130406640952,70.32405669464492,2019-10-26 15:15:45,0
81,520,408,5161,17.95152543249469,-50.91123499874257,2019-01-25 12:02:20,0
82,345,1481,5159,31.074295184148212,61.931841086436236,2019-09-05 22:30:14,0
83,819,378,291,-14.246594324157812,93.0518237678275,2019-01-28 19:54:19,0
84,600,955,9332,-37.84827802270233,-155.93110442836024,2019-04-20 23:45:53,0
85,948,1787,4450,32.94226119607028,-79.10400453721405,2019-09-23 00:37:21,0
86,317,673,8961,-56.50713513468944,98.20466426474974,2019-01-27 12:04:32,1
87,57,956,5064,-58.25077441769948,55.61644022731451,2019-09-19 13:42:27,1
88,456,1761,5804,-21.029007690885038,0.7685430895670038,2019-03-02 03:23:03,0
89,826,1171,2059,43.53826846218081,-137.36622675781916,2019-02-06 08:17:52,0
90,272,1638,8567,-27.325290259229604,-127.42014018760494,2019-02-14 00:38:52,0
91,627,340,586,-14.992999624050228,125.51470122395807,2019-08-12 17:26:09,0
92,580,807,8785,-29.718302601637753,96.68187869238824,2019-10-29 21:48:43,1
93,585,336,8598,-25.263838488294596,106.20678358858277,2019-03-15 23:02:20,0
94,937,1462,9116,-34.747349796332394,-110.64426063057512,2019-11-06 09:00:48,1
95,975,306,4856,6.879969166083441,20.623548016197475,2019-03-31 16:40:23,0
96,143,52,3973,76.56755242374425,-56.969998336480444,2019-02-04 15:43:47,0
97,164,1813,9228,43.15915223827872,-11.773345061849312,2019-03-09 23:24:22,0
98,888,1541,9027,29.88016302011731,-112.33943513475053,2019-02-16 06:42:34,1
99,449,973,7769,-67.13742760153484,-48.17929747987702,2019-10-08 20:02:14,0
100,639,1336,3440,2.846186386179866,-53.28284207186526,2019-06-09 21:31:47,0
101,971,1040,8347,68.6843281901331,155.90806001199184,2019-01-17 15:16:44,1
102,58,1007,5914,-63.377531967489865,148.2540320374531,2019-04-09 11:28:04,1
103,845,425,6518,2.0882090901562833,-142.10155648794932,2019-10-11 13:15:59,0
104,303,1954,3942,67.1540698156328,-18.610977992633366,2019-02-04 00:12:42,0
105,739,1682,1519,52.95492793015262,95.89023249066452,2019-05-18 21:36:13,1
106,256,732,1733,63.76347770909862,159.76231403243696,2019-09-02 15:37:11,0
107,203,437,2134,29.48504682119696,77.20707472002874,2019-04-12 14:48:09,0
108,963,778,30,-39.41582745554646,100.58243080457908,2019-05-15 01:59:22,0
109,592,257,8295,17.46023262402923,124.29610038645262,2019-04-09 23:31:09,0
110,358,803,3271,52.53367878504034,122.64640505913985,2019-09-21 20:25:56,1
111,476,565,9656,-46.04081647474239,-77.5621898183714,2019-08-10 03:53:18,1
112,327,1110,570,-68.88383708140233,26.255585696394576,2019-12-11 22:48:27,0
113,322,1503,2459,-5.665018940978854,96.51070945560105,2019-11-24 19:19:49,0
114,994,505,3,63.81416986106248,-169.05061786771887,2019-03-21 07:06:46,0
115,613,107,5956,-19.992727641035188,70.88069481895525,2019-10-29 13:39:31,0
116,114,1735,5979,-45.24857592666914,125.49610965988694,2019-07-26 17:15:18,1
117,553,1437,2760,-63.01323322755549,-28.709268455961677,2019-11-11 07:39:10,0
118,330,1229,436,32.59344757551038,143.39026085251612,2019-05-22 10:10:11,0
119,906,650,3359,77.38659931027311,-84.23380015954513,2019-09-13 04:24:03,0
120,912,437,3635,-37.81300724989488,-170.08068240530457,2019-05-02 21:25:02,0
121,626,1680,1994,-0.9762944535688121,59.84551769496741,2019-08-17 20:40:33,0
122,572,1007,4003,-4.484619478601061,43.45648329797271,2019-01-30 22:23:39,1
123,267,290,8461,21.877661996696816,-67.28033861392754,2019-06-09 03:39:50,0
124,758,1903,4063,46.834219375824375,-88.31337989903676,2019-04-18 21:49:46,0
125,86,1701,3297,-15.790533433925717,38.765005867006096,2019-03-27 03:07:14,1
126,885,18,4178,-52.10314690404282,-102.1623560142678,2019-03-20 09:17:12,1
127,726,540,4438,-56.47197792319635,-28.68347156431733,2019-09-21 07:09:16,0
128,4,702,5064,48.62736320311109,-9.318630931160982,2019-08-15 15:09:53,0
129,180,738,9828,6.903686176826184,145.28554707004088,2019-02-28 22:53:57,0
130,966,1243,68,9.529456965898959,-62.93769878653623,2019-02-24 08:58:08,0
131,85,1147,2528,65.01789088606569,-102.28603560795602,2019-02-23 00:32:49,0
132,721,220,5776,-64.1766669233384,55.09382200904261,2019-07-30 21:33:16,1
133,949,1414,8160,66.90275234281611,-94.17112153543178,2019-09-02 04:01:42,0
134,176,1168,8224,30.118234494377504,78.15464052486334,2019-01-23 22:36:29,1
135,363,484,3300,76.74444596492563,114.31505017496738,2019-07-26 12:49:07,0
136,269,270,8573,-85.26130485708482,155.8083757855918,2019-12-07 22:33:57,0
137,156,1097,266,28.07361291705405,154.4398170490012,2019-05-15 21:34:53,0
138,417,1436,8274,-63.91910330333073,-36.662231096651226,2019-09-09 06:18:53,1
139,178,621,3047,-18.17455902592411,-157.87623637494153,2019-10-21 07:59:35,1
140,953,1524,8184,-22.40671144384102,-49.498507816646395,2019-09-02 01:01:13,1
141,704,495,3443,64.3160834309256,155.9808477242974,2019-08-21 23:57:56,0
142,665,56,754,85.63499281827916,-49.86790771354376,2019-09-30 18:14:41,0
143,290,516,6236,-7.662885564009642,-143.40043098231388,2019-09-02 22:57:03,1
144,452,1032,4027,-89.54080791518913,172.4066289349439,2019-10-13 18:59:44,0
145,887,576,4184,87.90527840878332,-141.6904833762369,2019-01-02 07:00:30,0
146,142,1594,3680,-83.80352775883021,-112.10164165379372,2019-01-28 20:53:01,1
147,100,964,915,69.27555340191606,-28.6286695187666,2019-08-02 18:21:22,0
148,212,509,4322,73.72490818974816,65.96020697229176,2019-03-12 17:43:46,0
149,538,728,3120,46.992276260920676,-157.6038395958799,2019-07-18 21:24:54,0
150,449,1270,954,55.665596583309906,-91.92400252499971,2019-11-05 04:08:05,0
151,104,556,4973,-66.97932730041272,160.99561401059992,2019-10-14 17:29:39,0
152,981,458,8166,-81.33139277648255,-101.03787394804694,2019-10-03 09:32:34,1
153,904,1933,9937,26.569198327551746,131.37926677748675,2019-12-09 11:58:21,0
154,583,75,2292,-57.72146021909715,-80.82321388708228,2019-02-06 22:57:16,1
155,547,188,8290,47.68124114464692,102.7274293997026,2019-05-04 23:55:25,0
156,886,1214,4595,49.107150773434626,-90.59523323288698,2019-03-01 19:27:02,0
