id,content_id,topic_id,confidence
24577,1880,CYCCP,0.66
24578,1113,SAJA,0.78
24579,616,DTK,0.51
24580,973,LORL,0.85
24581,1899,NBD,0.48
24582,1690,EWBC,0.65
24583,562,FLOW,0.11
24584,1031,TBBK,0.24
24585,1511,IDSY,0.42
24586,680,TBI,0.97
24587,1638,CYTX,0.75
24588,1066,DYNT,0.05
24589,303,CTU,0.44
24590,749,CFBK,0.11
24591,935,SRET,0.83
24592,672,ETW,0.82
24593,1809,HCN,0.77
24594,844,INTC,0.26
24595,180,PSC,0.29
24596,626,PPL,0.9
24597,542,ENIC,0.81
24598,685,FBR,0.3
24599,905,MYCC,0.57
24600,1439,MACQW,0.59
24601,1257,EXC,0.36
24602,406,TSNU,0.33
24603,848,IPCC,0.06
24604,1614,CLW,0.14
24605,1125,SBR,0.45
24606,442,NQ,0.44
24607,416,IOSP,0.71
24608,1343,CNX,0.59
24609,1700,TWI,0.95
24610,1636,NOVN,0.13
24611,928,TISI,0.01
24612,709,TI.A,0.86
24613,1258,AAT,0.17
24614,1631,EMIF,0.8
24615,438,PRLB,0.82
24616,1526,JPM^E,0.57
24617,1481,EDGE,0.62
24618,1425,HEP,0.71
24619,770,FEX,0.29
24620,627,COE,0.79
24621,903,NVG,0.66
24622,1970,ETFC,0.4
24623,571,AMMA,0.89
24624,1379,NEE^C,0.56
24625,1981,FIG,0.01
24626,1822,UNM,0.81
24627,1791,EXC,0.1
24628,840,FRME,0.2
24629,1250,REXX,0.95
24630,1728,FTD,0.83
24631,1248,KMX,0.67
24632,1361,SYY,0.38
24633,991,NEE,0.06
24634,1909,SAJA,0.39
24635,184,TBBK,0.68
24636,343,CWAY,0.81
24637,317,HONE,0.22
24638,516,CBM,0.56
24639,651,HPP,0.92
24640,293,GMS,0.08
24641,1839,FIG,0.21
24642,471,SBR,0.36
24643,70,APA,0.99
24644,51,NYLD.A,0.28
24645,1339,VIGI,0.78
24646,1121,GMED,0.52
24647,197,INSG,0.87
24648,814,VECO,0.63
24649,146,PRLB,0.41
24650,550,XOXO,0.82
24651,253,LMAT,0.14
24652,280,VONV,0.83
24653,1142,PGTI,0.05
24654,388,HTA,0.2
24655,866,RES,0.28
24656,239,MLP,0.3
24657,1791,BLD,0.42
24658,1166,PTGX,0.08
24659,1196,MSLI,0.93
24660,500,HPP,0.83
24661,1846,PPG,0.41
24662,792,LGND,0.95
24663,1869,MTL,0.69
24664,1562,TWNKW,0.11
24665,1465,MOMO,0.88
24666,1974,ATTO,0.25
24667,276,AAT,0.33
24668,1961,BAS,0.34
24669,501,MX,0.49
24670,155,BV,0.41
24671,1343,ASGN,0.72
24672,1056,VECO,0.7
24673,123,TOUR,0.94
24674,411,EBSB,0.63
24675,580,BKEP,0.18
24676,1907,PNNT,0.06
24677,687,BIP,0.22
24678,676,ICB,0.65
24679,1203,AQXP,0.03
24680,1387,AGN^A,0.3
24681,1648,SNDX,0.9
24682,717,IRWD,0.66
24683,1312,MPVD,0.03
24684,284,DK,0.44
24685,1605,MACQ,0.99
24686,1740,NLY^A,0.5
24687,785,WMGI,0.98
24688,722,TNDM,0.97
24689,1057,VECO,0.63
24690,953,IMRN,0.87
24691,766,STAF,0.7
24692,1745,SNGXW,0.76
24693,999,MACQ,0.84
24694,819,SAJA,0.42
24695,1596,IAC,0.82
24696,1061,ERII,0.05
24697,1456,MCS,0.04
24698,114,PBB,0.02
24699,533,C^P,0.27
24700,1498,ITCI,0.37
