id,user_id,topic_id,created_at
1,973,CSQ,14:49:31.000
2,130,FBSS,8:15:19.000
3,191,PHD,5:39:16.000
4,45,OACQ,3:49:10.000
5,438,NQ,11:59:03.000
6,817,CPAH,14:06:24.000
7,724,FRME,17:09:11.000
8,550,CDR,3:50:03.000
9,746,IAC,17:05:16.000
10,62,EBSB,8:20:53.000
11,816,TBI,2:22:46.000
12,998,PTSI,1:29:16.000
13,454,EMCG,3:06:52.000
14,45,IPCC,6:22:05.000
15,414,AMMA,23:35:49.000
16,785,SHI,19:49:44.000
17,352,LRAD,5:22:53.000
18,726,UNAM,18:22:10.000
19,718,GG,17:44:29.000
20,528,FPT,20:05:38.000
21,28,ETW,9:05:27.000
22,373,JNCE,23:26:43.000
23,820,SHI,7:52:47.000
24,773,ORLY,23:37:41.000
25,218,AMH^F,17:18:15.000
26,860,ECA,23:29:00.000
27,826,NYMTO,16:12:40.000
28,529,BNJ,22:32:40.000
29,642,JHX,22:56:25.000
30,634,AMNB,12:31:39.000
31,1000,GOF,2:23:27.000
32,177,AMMA,12:42:59.000
33,795,FEMS,23:12:10.000
34,157,LDRI,12:15:54.000
35,970,CNX,0:37:11.000
36,789,AGN^A,0:03:24.000
37,188,HCKT,14:25:07.000
38,738,FORD,19:54:00.000
39,944,LORL,7:15:29.000
40,168,LRAD,20:10:54.000
41,172,FPT,22:18:09.000
42,786,HAE,0:53:51.000
43,289,ANGO,0:08:55.000
44,669,CYTX,23:25:33.000
45,421,UONE,5:34:30.000
46,842,FTHI,12:09:32.000
47,178,GATX,19:14:24.000
48,349,CBL^D,22:17:19.000
49,707,BLVDW,10:15:01.000
50,126,NBD,0:46:24.000
51,257,VSTO,19:14:47.000
52,5,HGT,3:56:11.000
53,91,GG,18:19:50.000
54,401,AIRG,18:14:35.000
55,737,CNMD,14:37:29.000
56,901,SRUN,18:42:40.000
57,450,FII,6:41:22.000
58,231,BMRC,11:05:59.000
59,478,RVEN,17:22:55.000
60,818,CLIR,23:15:05.000
61,249,GWRS,22:39:30.000
62,352,UONE,19:50:15.000
63,66,EPR,22:39:44.000
64,187,CTV,14:09:41.000
65,590,HCN,6:05:52.000
66,99,COE,22:42:57.000
67,377,PPG,21:03:25.000
68,972,PPL,8:23:03.000
69,388,BLD,16:41:54.000
70,194,LAZ,2:02:46.000
71,579,BV,16:40:28.000
72,281,NRCIA,10:48:38.000
73,427,TDW,16:45:28.000
74,327,AGN^A,18:08:55.000
75,841,YRCW,11:29:59.000
76,452,IMKTA,6:39:40.000
77,470,PBB,0:45:25.000
78,192,DRYS,10:40:31.000
79,841,GAB,8:08:00.000
80,10,KBWY,5:17:25.000
81,48,AOI,9:26:42.000
82,886,WMGI,19:32:17.000
83,64,CEM,8:59:32.000
84,967,NYMTO,23:42:12.000
85,526,FIV,20:15:24.000
86,858,ANIP,12:43:49.000
87,499,POWL,19:40:30.000
88,445,PHI,9:04:08.000
89,994,FNCX,19:39:16.000
90,565,ADNT,1:38:12.000
91,613,SHI,1:00:55.000
92,979,UONE,19:30:11.000
93,999,JPM^F,16:27:00.000
94,460,BRK.B,6:07:06.000
95,82,PMD,6:50:29.000
96,413,HEBT,19:41:02.000
97,798,JPM^F,0:26:58.000
98,693,LJPC,7:05:07.000
99,575,BAM,4:22:57.000
100,652,EV,0:03:35.000
101,55,ARNA,1:11:43.000
102,694,EPR^C,21:03:14.000
103,639,PLYAW,14:51:41.000
104,41,UCTT,19:07:54.000
105,639,AAV,9:08:27.000
106,673,RADA,8:39:33.000
107,136,ESG,2:29:42.000
108,322,UTI,22:38:02.000
109,14,URBN,4:57:13.000
110,529,KBWB,4:14:26.000
111,82,SIG,0:32:03.000
112,268,EPR^C,17:49:40.000
113,642,IMKTA,3:42:06.000
114,712,HEP,21:47:16.000
115,982,UNM,8:45:56.000
116,979,ORG,16:18:45.000
117,142,UNM,8:31:54.000
118,447,GMS,2:41:44.000
119,400,CYCC,7:41:37.000
120,748,ABY,11:06:07.000
121,929,EWBC,6:48:35.000
122,415,INFO,18:41:44.000
123,115,RBA,15:05:15.000
124,904,SRCLP,8:08:32.000
125,79,DRYS,20:11:26.000
126,631,ANGO,23:20:07.000
127,183,WAC,4:05:41.000
128,511,LTXB,11:44:17.000
129,749,FBR,20:24:26.000
130,387,VMW,6:25:39.000
131,439,LJPC,19:08:56.000
132,820,PPG,0:30:38.000
133,924,EROS,20:15:24.000
134,806,TI.A,13:38:37.000
135,399,MTL,8:26:40.000
136,144,SYY,7:41:23.000
137,151,GNMK,5:26:07.000
138,71,ASML,1:47:57.000
139,71,JMF,9:02:29.000
140,720,CAE,10:31:09.000
141,243,CLAC,23:00:41.000
142,673,FCPT,23:12:40.000
143,660,TISI,11:55:34.000
144,910,SILC,7:12:31.000
145,718,NADL,18:23:55.000
146,501,MDIV,0:33:16.000
147,882,MSDI,10:55:42.000
148,911,LDRI,14:23:57.000
149,682,JNCE,5:07:03.000
150,163,INTG,18:56:00.000
151,765,PCN,7:12:41.000
152,955,VEDL,5:54:16.000
153,414,MYOK,22:44:09.000
154,140,LDRI,16:56:25.000
155,943,BV,19:15:55.000
156,979,ETW,0:54:49.000
157,133,JCI,13:08:39.000
158,745,VEEV,9:45:43.000
159,189,FLOW,20:19:54.000
160,583,ASGN,5:05:51.000
161,293,ADC,10:39:45.000
162,629,MACQ,7:47:38.000
163,552,UCTT,2:39:12.000
164,337,SILC,7:41:24.000
165,525,HTF,0:54:30.000
166,539,ECL,15:58:59.000
167,594,TWNKW,22:56:27.000
168,444,SYY,12:20:45.000
169,708,CBL^D,17:45:31.000
170,73,PSC,6:53:29.000
171,83,VVI,17:09:58.000
172,72,TWNKW,8:50:48.000
173,665,CBM,19:26:34.000
174,688,INSW,9:13:03.000
175,108,LDRI,19:04:52.000
176,563,GCVRZ,4:12:30.000
177,392,CYTX,7:19:48.000
178,692,HIMX,15:40:20.000
179,364,NUO,1:57:39.000
180,539,GOF,7:15:15.000
181,141,NGHCZ,23:45:45.000
182,654,PPL,22:15:46.000
183,718,SNGXW,0:09:48.000
184,646,IPCC,22:48:45.000
185,318,GENE,22:25:23.000
186,451,CTV,12:55:24.000
187,577,EDGE,18:16:16.000
188,841,ITCI,16:59:22.000
189,568,WIA,10:52:07.000
190,896,MIME,18:49:25.000
191,400,AXSM,9:33:40.000
192,684,MSDI,15:08:11.000
193,519,ONVO,6:22:30.000
194,507,NOVN,21:44:06.000
195,508,NLY^A,17:53:13.000
196,544,IRWD,4:47:38.000
197,512,UTF,1:19:15.000
198,896,JLL,10:26:22.000
199,899,VEEV,22:04:08.000
200,525,TBI,12:57:03.000
201,149,MCC,14:26:32.000
202,465,VNO^G,17:50:33.000
203,734,PSCD,15:57:01.000
204,930,IPHI,14:30:06.000
205,490,GES,23:35:27.000
206,875,FNCX,7:33:51.000
207,757,IAC,3:23:40.000
208,159,WABC,20:49:03.000
209,863,FNJN,8:27:28.000
210,736,ITUS,7:13:11.000
211,938,FII,17:08:56.000
212,800,INSG,23:03:09.000
213,596,XENE,14:40:38.000
214,982,EMIF,6:58:03.000
215,920,UTL,18:54:41.000
216,315,ESPR,0:19:58.000
217,896,PLYAW,22:11:20.000
218,99,INTC,23:37:31.000
219,641,ESBK,2:51:28.000
220,812,UBSH,18:16:07.000
221,898,ANIP,16:10:08.000
222,483,MPVD,9:35:07.000
223,36,PMD,9:23:43.000
224,542,FBSS,22:55:48.000
225,815,CR,21:44:57.000
226,559,ORLY,17:24:33.000
227,735,SYY,4:59:41.000
228,286,ORLY,0:30:59.000
229,3,KTF,2:01:07.000
230,209,I,15:44:13.000
231,650,WAC,2:35:21.000
232,744,HZO,9:54:21.000
233,599,EXC,10:38:30.000
234,960,CPAAW,0:52:31.000
235,220,CBL^D,21:18:48.000
236,445,WTFCM,19:44:03.000
237,832,UTF,6:10:16.000
238,731,CFC^B,10:50:17.000
239,543,CHK^D,8:41:16.000
240,590,WABC,23:41:43.000
241,891,FIS,2:03:02.000
242,90,SIG,19:19:35.000
